Bill,role,alderman,billID
"BB 62 Redev. plan for 5540 W. Park, 1249 & 1319 Macklind",Primary,roddy,BB 62
BB 83 Red. Plan for 1463 S. Vandeventer,Primary,roddy,BB 83
BB 84 Forest Park Southeast Scattered sites IV,Primary,roddy,BB 84
BB 85 Redev. plan for 4306 Chouteau,Primary,roddy,BB 85
BB 95 close McRee & Thurman,Primary,roddy,BB 95
BB 102 Designating Fourth Street between Market Street and Chestnut Street as Dred Scott Way@.,Co-Sponsor,roddy,BB 102
BB 115 Redev. plan for 1470 S. Vandeventer,Primary,roddy,BB 115
BB 167 Gateway Mall,Co-Sponsor,roddy,BB 167
BB 180 Redevelopment plan for 4158 West Pine,Primary,roddy,BB 180
BB 186 Redevelopment plan for 4355 W. Pine,Primary,roddy,BB 186
BB 187 Manchester Avenue Enhancement Project,Primary,roddy,BB 187
"BB 191 vacation of north/south alley at Sarpy, Vandeventer, St. Bernard and Gratiot",Primary,roddy,BB 191
BB 196 Vacation of east west alley at 4389 Duncan/Forest Park,Primary,roddy,BB 196
BB 199 Temporarily closing Oakland 100 feet west of South Newstead,Primary,roddy,BB 199
BB 278 Zoning change for 4401 Chouteau,Primary,roddy,BB 278
BB 294 Redev. plan for 100 N. Euclid,Primary,roddy,BB 294
BB 323 Vacation of Papin/ Pacific/ Chouteau,Primary,roddy,BB 323
BB 343 Est. Grove Commercial Special Use District,Primary,roddy,BB 343
BB 347 Property sale to Bellon Holding Co.,Primary,roddy,BB 347
BB 387 Redev. plan for McRee,Primary,roddy,BB 387
BB 388 Zoning change for 4455 Chouteau,Primary,roddy,BB 388
"BB 389 Zoning change for 5197, 4308-4312 McRee",Primary,roddy,BB 389
BB 395 Chouteau Newstead TIF,Primary,roddy,BB 395
BB 396 Chouteau Newstead Tif agrmt,Primary,roddy,BB 396
BB 397 Chouteau Newstead TIF note,Primary,roddy,BB 397
BB 404 Cyber Harassment,Co-Sponsor,roddy,BB 404
BB 416 Purchasing of Park Land,Primary,roddy,BB 416
BB 418 PUD City walk on Euclid,Primary,roddy,BB 418
BB 430 100 N. Euclid CID,Primary,roddy,BB 430
BB 434 Vacation of Papin from Gratiot south to Papin,Primary,roddy,BB 434
BB 443 Community Unit Plan for Washington University Medical Center,Primary,roddy,BB 443
BB 461 Closing Oakland at Kingshighway,Primary,roddy,BB 461
BB 480 Amendment to the agreement with Warehouse of Fixtures,Primary,roddy,BB 480
BB 481 Amendment to the redev. agreement for 4200 Laclede,Primary,roddy,BB 481
BB 496 Redev. plan for 4011-15 Shaw,Primary,roddy,BB 496
BB 506 Vacation of Kentucky north of Chouteau,Primary,roddy,BB 506
BB 506 Vacation of Kentucky north of Chouteau,Primary,roddy,BB 506
"BB 13 An ordinance repealing Ordinance 67880 pertaining to a certain temporary street closing and enacting a new ordinance in lieu thereof authorizing and directing the Director of Streets to close, barricade, or otherwise impede the flow of traffic on Oakland Avenue at the east curb line of Kingshighway",Primary,roddy,BB 13
"BB 21 blighting study and redevelopment plan dated March 25, 2008 for the 4512-14 Manchester Avenue Redevelopment Area",Primary,roddy,BB 21
BB 38 Repealing City Walk on Euclid PUD,Primary,roddy,BB 38
BB 39 Establishing City Walk on Euclid PUD,Primary,roddy,BB 39
BB 65 Station G Apartments TIF Plan,Primary,roddy,BB 65
BB 66 Station G Apartments TIF Agreement,Primary,roddy,BB 66
BB 67 Station G Apartments TIF Note,Primary,roddy,BB 67
BB 79 Redevelopment plan for 4065 West Pine,Primary,roddy,BB 79
BB 80 Redevelopment plan for 4243 Laclede,Primary,roddy,BB 80
BB 81 Redevelopment plan for 1350-60 S. Kingshighway,Primary,roddy,BB 81
"BB 110 An Ordinance recommended by the Planning Commission on June 4, 2008, to change the zoning of property as indicated on the District Map, from â€œBâ€ù Two-Family Dwelling District to the â€œJâ€ù Industrial District, in City Block 3965 (4234, 4235, 4238 & 4240 Papin), so as to include the described parcels of",Primary,roddy,BB 110
"BB 170 An ordinance approving the petition of various owners of certain Real Property to establish a Community ImprovementDistrict, establishing the Grove Community Improvement District; containing a severability clause.",Primary,roddy,BB 170
BB 178 Redevelopment plan for 4301-03 Manchester,Primary,roddy,BB 178
BB 179 Redevelopment plan for 1014-38 Oakview,Primary,roddy,BB 179
"BB 180 Redevelopment plan for 3645 Gratiot, 700 & 852 Spring",Primary,roddy,BB 180
BB 183 Redevelopment plan for 4517 and 4521 Chouteau,Primary,roddy,BB 183
BB 184 Redevelopment plan for 4422 Chouteau,Primary,roddy,BB 184
BB 242 Ord. repealing ord 68009 - PUD City Walk,Primary,roddy,BB 242
BB 243 PUD establishing - City Walk on Euclid,Primary,roddy,BB 243
BB 265 3693 Forest Park TIF Plan,Primary,roddy,BB 265
BB 266 3693 Forest Park TIF Agrmt,Primary,roddy,BB 266
BB 267 3693 Forest Park TIF Note,Primary,roddy,BB 267
BB 296 Air quality projects involving traffic signals,Co-Sponsor,roddy,BB 296
BB 298 Redevelopment plan for 5240 Oakland,Primary,roddy,BB 298
"BB 299 Redevelopment plan for 3700 Forest Park, 3711-49, 3815-19 Market",Primary,roddy,BB 299
BB 300 Redevelopment plan for 4525 Wichita,Primary,roddy,BB 300
BB 301 Redevelopment plan for 4541 Oakland,Primary,roddy,BB 301
BB 310 BJC Park Property,Primary,roddy,BB 310
BB 329 CWE Special Business District tax levy,Primary,roddy,BB 329
BB 330 CWE Special Business District proposal to establish a levy of tax.,Primary,roddy,BB 330
BB 337 Zoning change for 3810-3848 Laclede,Primary,roddy,BB 337
BB 374 Vacation of Spring from Gratiot northward,Primary,roddy,BB 374
BB 375 Redev. plan for 3810-48 Laclede,Primary,roddy,BB 375
BB 400 Warehouse of Fixtures CID,Primary,roddy,BB 400
BB 401 Establishing the 4100 Forest Park CID,Primary,roddy,BB 401
BB 16 Redev. plan for 4541 Oakland,Primary,roddy,BB 16
BB 18 Redev. plan for 4247 Laclede,Primary,roddy,BB 18
BB 42 Vacation of Children's Place at Euclid,Primary,roddy,BB 42
BB 43 Public Works Bill,Co-Sponsor,roddy,BB 43
BB 58 Redev Plan for 4340 Vista,Primary,roddy,BB 58
BB 125 Vacate Taylor from Duncan/Parkview,Primary,roddy,BB 125
BB 129 Redev. plan for 4525 Wichita,Primary,roddy,BB 129
BB 162 Redevelopment plan for 4162-68 Manchester,Primary,roddy,BB 162
BB 163 Redevelopment plan for 4472 Lindell,Primary,roddy,BB 163
BB 200 Redevelopment plan for 4300 Manchester,Primary,roddy,BB 200
BB 291 Redev. plan for 4370 Manchester,Primary,roddy,BB 291
BB 296 Ord. pertaining to the Grand Blvd Vioduct,Primary,roddy,BB 296
BB 317 Amend to Station G. TIF,Primary,roddy,BB 317
BB 336 Ord. pertaining to trees.,Primary,roddy,BB 336
BB 50 Redev. plan for 4366 Manchester,Primary,roddy,BB 50
BB 51 Redev. Plan for 4455 Arco,Primary,roddy,BB 51
BB 68 Vacation of the alley at Laclede/Grand/Forest Park/ Spring,Primary,roddy,BB 68
BB 75 Redevelopment plan for 4206 Chouteau,Primary,roddy,BB 75
BB 88 Redevelopment plan for 1115-17 Tower Grove,Primary,roddy,BB 88
BB 95 Ord. dissolving the 4548 West Pine Special Allocation Fund,Primary,roddy,BB 95
BB 127 Renamng Gibson to PO Robert J. Stanze,Primary,roddy,BB 127
BB 139 Redev. plan for 3700-3846 Market St.,Primary,roddy,BB 139
BB 151 Cortex West,Primary,roddy,BB 151
"BB 163 Vacation of alley at Forest Park, Boyle, Duncan, Newstead",Primary,roddy,BB 163
BB 225 Earnings tax bill,Co-Sponsor,roddy,BB 225
BB 235 Vacation of Parkview at Taylor,Primary,roddy,BB 235
BB 253 Washington University,Primary,roddy,BB 253
BB 259 Redev. plan for 4451 Gibson,Primary,roddy,BB 259
BB 260 Redev. plan for 4380 Chouteau,Primary,roddy,BB 260
BB 19 Redev. plan for 4168 W.Pine,Primary,roddy,BB 19
BB 81 Redev. plan for 4314 and 4453 Gibson,Primary,roddy,BB 81
BB 165 Redev. plan for 4207 Arco,Primary,roddy,BB 165
BB 182 Vacation of Motard from Hickory to Rutger,Primary,roddy,BB 182
BB 188 Dissolving Station G TIF,Primary,roddy,BB 188
BB 189 Ord. Relating to Forest Park,Co-Sponsor,roddy,BB 189
BB 190 Prop. to secure bond counsel,Primary,roddy,BB 190
BB 193 Non performing TIFs,Co-Sponsor,roddy,BB 193
BB 195 Ord. est. Clean Energy Dev. Bd.,Primary,roddy,BB 195
BB 220 Vacation of Children's Place,Primary,roddy,BB 220
BB 241 Rezoning Highlands Properties,Primary,roddy,BB 241
BB 273 Vacation of the alley at Clayton and Taylor,Primary,roddy,BB 273
BB 274 Redevelopment plan for 925-927 S. Sarah,Primary,roddy,BB 274
BB 275 Redevelopment plan for 4537 Arco,Primary,roddy,BB 275
BB 291 Terminate Easement at 3946 Papin,Primary,roddy,BB 291
BB 31 Charter Amendment amending the number of aldermen,Co-Sponsor,roddy,BB 31
BB 40 Redev. plan for 4538 Oakland,Primary,roddy,BB 40
BB 40 Redev. plan for 4538 Oakland,Primary,roddy,BB 40
BB 47 Vacation of Papin at Chouteau and Vandeventer,Primary,roddy,BB 47
BB 47 Vacation of Papin at Chouteau and Vandeventer,Primary,roddy,BB 47
BB 79 Enabling legislation creating new zoning overlay district,Primary,roddy,BB 79
BB 80 Redevelopment plan for 4336 Vista,Primary,roddy,BB 80
BB 81 Redevelopment plan for 4501-4503 Wichita,Primary,roddy,BB 81
BB 82 Redevelopment plan for 4224-4230 Gibson,Primary,roddy,BB 82
BB 83 Redevelopment plan for 4345 Arco,Primary,roddy,BB 83
BB 130 Redevelopment plan for 3953-65 Laclede,Primary,roddy,BB 130
BB 131 Redevelopment plan for 4401-55 Chouteau,Primary,roddy,BB 131
BB 136 Zoning change for 4450 W. Papin,Primary,roddy,BB 136
BB 137 Zoning change for 100 N. Euclid,Primary,roddy,BB 137
BB 158 Modify tax abatement for 5700 Oakland,Primary,roddy,BB 158
BB 159 Quit Claim for 4354R W. Papin,Primary,roddy,BB 159
BB 199 Rezoning of 5924 Clayton Ave.,Primary,roddy,BB 199
BB 214 Redevelopment plan for 4137 Manchester,Primary,roddy,BB 214
BB 215 Redevelopment plan for 4225-29 Laclede,Primary,roddy,BB 215
BB 218 Establishment of the Central West End Form Based District,Primary,roddy,BB 218
BB 222 Forest Park Southeast Special Business District,Primary,roddy,BB 222
BB 223 Ordinance for voters in Forest Park Southeast Special Business District,Primary,roddy,BB 223
BB 224 Establishment of the Botanical Heights West Special Business District,Primary,roddy,BB 224
BB 225 Ordinance for voters in Botanical Heights West Special Business District,Primary,roddy,BB 225
BB 230 Redevelopment plan for 1218 Central Industrial Drive,Primary,roddy,BB 230
BB 231 Redevelopment plan for 920 S. Taylor and 4450 W. Papin,Primary,roddy,BB 231
BB 237 Ordinance relating to 3:00 a.m. closing permits,Primary,roddy,BB 237
BB 242 Ordinance pertaining to elections,Co-Sponsor,roddy,BB 242
BB 243 Ordinance to terminate 110 N. Condo TIF for 4391-99 West Pine,Primary,roddy,BB 243
BB 244 Ordinance to lower interest rates,Primary,roddy,BB 244
BB 251 Northeast Hampton Berthold redev. TIF,Primary,roddy,BB 251
BB 252 Tri-Star Imports agrmt,Primary,roddy,BB 252
BB 278 Lindell Historic District,Primary,roddy,BB 278
BB 280 Cortex TIF plan,Primary,roddy,BB 280
BB 281 Cortex TIf Agreement,Primary,roddy,BB 281
BB 283 Central West End Historic District,Co-Sponsor,roddy,BB 283
BB 3 Hampton Berthold CID,Primary,roddy,BB 3
BB 28 Redevelopment plan for 4342 Hunt,Primary,roddy,BB 28
BB 29 Redevelopment plan for 4350 Chouteau,Primary,roddy,BB 29
BB 30 Redevelopment plan for 4216-22 Gibson,Primary,roddy,BB 30
BB 32 Zoning change for Kentucky & Papin Parcels,Primary,roddy,BB 32
BB 61 Redevelopment plan for Forest Park Southeast Scattered Sites,Primary,roddy,BB 61
BB 62 Redevelopment plan for 4180 Manchester,Primary,roddy,BB 62
BB 63 Note for Northeast Hampton Berthold TIF,Primary,roddy,BB 63
BB 80 Vacation of Cairns Pl. from Clayton Ave.,Primary,roddy,BB 80
BB 81 Vacation of the alley at Clayton and Vandeventer,Primary,roddy,BB 81
BB 95 Redevelopment agreement for 100 N. Euclid TIF,Primary,roddy,BB 95
BB 96 Redevelopment plan for 100 N. Euclid TIF,Primary,roddy,BB 96
"BB 97 Redevelopment Note for 10,000,000 for 100 N. Euclid",Primary,roddy,BB 97
BB 107 Stop site at S. Boyle at Dugan,Primary,roddy,BB 107
BB 108 Zoning change for St. Louis College of Pharmacy,Primary,roddy,BB 108
BB 113 St. Louis Innovation TIF plan,Primary,roddy,BB 113
BB 114 St. Louis Innovation TIF Agreement,Primary,roddy,BB 114
BB 115 St. Louis Innovation TIF Note,Primary,roddy,BB 115
BB 120 Public Works project for Vandeventer Corridor,Primary,roddy,BB 120
BB 145 Stop site for traffic on tower Grove at Swan,Primary,roddy,BB 145
BB 218 Redevelopment plan for 1214 S. Boyle,Primary,roddy,BB 218
BB 226 Redevelopment plan for 4010-66 West Pine,Primary,roddy,BB 226
BB 235 Zoning change for 4054-66 West Pine,Primary,roddy,BB 235
BB 252 Redevelopment plan for 4367 Gibson,Primary,roddy,BB 252
BB 269 Zoning change for Gratiot and S. Vandeventer,Primary,roddy,BB 269
BB 284 Vacation of Duncan from Vandeventer westwardly,Primary,roddy,BB 284
BB 310 Quit claim to SLLC Real Estate Prop.,Primary,roddy,BB 310
BB 316 Cortex - BiState quit claim for 412 S. Sarah,Primary,roddy,BB 316
BB 317 St. Louis Innovation TIF,Primary,roddy,BB 317
BB 318 St. Louis Innovation TIF Agreement,Primary,roddy,BB 318
BB 319 St Louis Innovation TIF Note,Primary,roddy,BB 319
"BB 329 Alley vacation at Oakview, Berthhold, Hampton and Clayton",Primary,roddy,BB 329
BB 24 Redevelopment plan for 4467 Gibson,Primary,roddy,BB 24
BB 27 Parking within 1100 Taylor Avenue,Primary,roddy,BB 27
BB 46 Redevelopment plan for 4929-63 Manchester,Primary,roddy,BB 46
"BB 76 Redevelopment plan for 1515-215 S. 39th, 3901-05, 3907-09 Folsom, 3861-69 McRee, 3867 Lafayette",Co-Sponsor,roddy,BB 76
BB 86 4200 Gibson Residential Parking,Primary,roddy,BB 86
BB 91 Cortex - Release of properties on Duncan and Sarah,Primary,roddy,BB 91
BB 92 Establishing the Euclid CID,Primary,roddy,BB 92
BB 112 Zoning change for 3992 Gratiot,Primary,roddy,BB 112
BB 114 Vacation of the north/south alley at Children's Place/Taylor/Scott/Euclid,Primary,roddy,BB 114
BB 116 Redevelopment plan for 4321-25 Manchester,Primary,roddy,BB 116
BB 117 Redevelopment plan for 4187-91 Manchester,Primary,roddy,BB 117
BB 137 Block Grant for 2015,Primary,roddy,BB 137
BB 167 Parking in 4500 Gibson Av. Residential District,Primary,roddy,BB 167
BB 173 Dissolving special allocation funds for Center for Emerging Technologies,Primary,roddy,BB 173
BB 179 Tax Increment Financing Plans,Primary,roddy,BB 179
BB 194 Approving SSTIF Documents,Primary,roddy,BB 194
BB 219 Sale of 4213 Gibson,Primary,roddy,BB 219
BB 246 Vacation of Wise between Kingshighway and Brother Thornton Way,Primary,roddy,BB 246
BB 247 Vacation of Parkview Place from Euclid to Kingshighway,Primary,roddy,BB 247
BB 257 Redevelopment plan for 4448 Oakland,Primary,roddy,BB 257
BB 5 4500 Wichita Residential Parking,Primary,roddy,BB 5
"BB 8 Redevelopment plan for 4231, 4233, 4241 Gibson",Primary,roddy,BB 8
BB 9 Redevelopment plan for 4100-08 Lindell,Primary,roddy,BB 9
BB 10 Redevelopment plan for 4245 West Pine Blvd.,Primary,roddy,BB 10
BB 43 Washington U. Med. Ctr.,Primary,roddy,BB 43
BB 59 Rezoning properties on Rutger,Primary,roddy,BB 59
"BB 86 Redevelopment plan for Chouteau Av., Sarah St, Papin St.",Primary,roddy,BB 86
"BB 86 Redevelopment plan for Chouteau Av., Sarah St, Papin St.",Primary,roddy,BB 86
BB 87 Redevelopment plan for 1470 South Vandeventer,Primary,roddy,BB 87
BB 87 Redevelopment plan for 1470 South Vandeventer,Primary,roddy,BB 87
BB 103 Vacation of Hickory St. at Grand West to Motard,Primary,roddy,BB 103
BB 106 Hampton Berthold TDD,Primary,roddy,BB 106
BB 106 Hampton Berthold TDD,Primary,roddy,BB 106
BB 154 Redevelopment plan for 5215 Manchester,Primary,roddy,BB 154
BB 160 Cortex blighting bill,Primary,roddy,BB 160
BB 172 Amendment to Hampton/Berthold TIF,Primary,roddy,BB 172
BB 176 Soldiers Memorial Agreement,Co-Sponsor,roddy,BB 176
"BB 179 2016 CDBG, HOME, ESG and HOPWA funds",Primary,roddy,BB 179
BB 182 Chapter 100 Industrial Revenue Bonds,Primary,roddy,BB 182
BB 200 Restricted Parking District for 3900-3914 Laclede,Primary,roddy,BB 200
BB 210 Dissolving allocation fund for Chemical Bldg,Primary,roddy,BB 210
BB 211 Dissolving allocation fund for Jefferson Arms,Primary,roddy,BB 211
BB 212 TIF projects making progress,Primary,roddy,BB 212
BB 213 4494 Lindell TIF Plan,Primary,roddy,BB 213
BB 214 4494 Lindell TIF agreement,Primary,roddy,BB 214
BB 215 4494 Lindell TIF Note,Primary,roddy,BB 215
BB 216 32 N. Euclid TIF Plan,Primary,roddy,BB 216
BB 217 32 N. Euclid TIF Agreement,Primary,roddy,BB 217
BB 218 32 N. Euclid TIF Note,Primary,roddy,BB 218
BB 240 Redevelopment plan for 4249 Chouteau,Primary,roddy,BB 240
BB 260 Vacation of Children's Place west of Taylor,Primary,roddy,BB 260
BB 261 Vacation of Wise at Kingshighway and Brother Thornton Way,Primary,roddy,BB 261
BB 262 Air rights at Children's Place west of Taylor,Primary,roddy,BB 262
BB 263 Air rights at Taylor south of Children's Place,Primary,roddy,BB 263
BB 264 Air rights at the sidewalk on Children's Place west of Taylor,Primary,roddy,BB 264
BB 270 Gerhart Lofts Building Residential Parking District,Primary,roddy,BB 270
BB 271 Buckingham Court Residential Parking District,Primary,roddy,BB 271
BB 272 Redevelopment plan for 4212 Chouteau,Primary,roddy,BB 272
BB 301 Redevelopment plan for 4308-10 Swan,Primary,roddy,BB 301
BB 302 Redevelopment plan for 4101 Laclede,Primary,roddy,BB 302
BB 314 Property improvements on Central Industrial Drive,Primary,roddy,BB 314
BB 315 Ordinance amending the Revised Code of St. Louis,Primary,roddy,BB 315
BB 4 Redevelopment plan for 4403 Gibson,Primary,roddy,BB 4
BB 8 Vacation of Wise between Kingshighway and Brother Thornton Way,Primary,roddy,BB 8
BB 25 Amending 32 North Euclid TIF,Primary,roddy,BB 25
BB 43 Redevelopment plan for 4227 Swan,Primary,roddy,BB 43
BB 50 Ordinance to purchase 1212-18 & 1401 Central Industrial Drive,Primary,roddy,BB 50
BB 51 Establishing 4101 Laclede Community Improvement District,Primary,roddy,BB 51
BB 80 Zoning change for Laclede & Spring parcels,Primary,roddy,BB 80
"BB 107  CHAPTER	353",Co-Sponsor,roddy,BB 107
"BB 110 Zoning Change 1315-39 S. Grand & 3632 Rutger, 3656 Hickory  and 1101 & 1121-27 S. Grand,1126 Motard",Primary,roddy,BB 110
BB 121 Amending redevelopment plan for Chouteau/Sarah/Papin/,Primary,roddy,BB 121
BB 128 Redevelopment plan for 4176 Manchester,Primary,roddy,BB 128
"BB 129 Redevelopment plan for 4311, 15, 45 and 58 Hunt",Primary,roddy,BB 129
BB 130 Redevelopment plan for 1211 Tower Grove,Primary,roddy,BB 130
BB 131 Redevelopment plan for 4230 Chouteau and 4247 & 4335 Arco,Primary,roddy,BB 131
BB 136 Block Grant Bill,Primary,roddy,BB 136
BB 174 Ordinance determining TIF plans making satisfactory progress,Primary,roddy,BB 174
BB 175 Redevelopment plan for 4398 Chouteau,Primary,roddy,BB 175
BB 176 Redevelopment plan for 916-26 Talmage & 4307 Chouteau,Primary,roddy,BB 176
BB 182 Ordinance to terminate Grand & Shenandoah TIF,Primary,roddy,BB 182
BB 183 Ordinance to terminate LaSalle & N. Kingshighway TIF,Primary,roddy,BB 183
BB 184 Ordinance terminating a Modesta Development Plan,Primary,roddy,BB 184
BB 197 St. Louis Midtown Redevelopment Plan,Co-Sponsor,roddy,BB 197
BB 198 Ordinance approving the use of TIF for City Foundry St. Louis,Primary,roddy,BB 198
BB 199 Redevelopment agreement for City Foundry TIF,Primary,roddy,BB 199
BB 207 vacation of Rutger from Grand westward,Primary,roddy,BB 207
"BB 208 vacation of alley at LaSalle, Motard, Hickory & Spring",Primary,roddy,BB 208
"BB 209 vacation of alley at Hickory, Grand, Rutger, Spring",Primary,roddy,BB 209
BB 224 Vacation of Sublette from Wise southward,Primary,roddy,BB 224
BB 232 Redevelopment plan for 1519 Tower Grove Avenue,Primary,roddy,BB 232
BB 233 Redevelopment plan for 4101-4117 Manchester,Primary,roddy,BB 233
BB 234 Redevelopment plan for 4140 & 4145 Park Ave.,Primary,roddy,BB 234
BB 235 Redevelopment plan for 100 N. Kingshighway,Primary,roddy,BB 235
"BB 263 vacation of alley at N. Market, 19th, Maiden Lane, 20th",Primary,roddy,BB 263
"BB 263 vacation of alley at N. Market, 19th, Maiden Lane, 20th",Primary,roddy,BB 263
BB 268 Chouteau - Newstead Parking District,Primary,roddy,BB 268
BB 268 Chouteau - Newstead Parking District,Primary,roddy,BB 268
BB 281 Cortex TIF Plan,Primary,roddy,BB 281
BB 282 Cortex TIF Agreement,Primary,roddy,BB 282
BB 283 Cortex TIF 3rd Supplemental Indenture,Primary,roddy,BB 283
BB 284 Cortex TIF 4th Supplemental Indenture,Primary,roddy,BB 284
BB 285 Armory TIF Plan,Primary,roddy,BB 285
BB 286 Armory TIF Agreement,Primary,roddy,BB 286
BB 289 Armory CID,Primary,roddy,BB 289
BB 300 Kings Oak CID,Primary,roddy,BB 300
BB 3 Sale of 3699 Market Street,Primary,roddy,BB 3
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,roddy,BB 11
BB 18 City Foundry TIF Note,Primary,roddy,BB 18
BB 20 Redevelopment plan for 1301-03 S. Boyle,Primary,roddy,BB 20
BB 21 Redevelopment plan for 4427 Chouteau,Primary,roddy,BB 21
BB 22 Redevelopment plan for 4401 Gibson,Primary,roddy,BB 22
BB 23 Redevelopment plan for 4443 Oakland,Primary,roddy,BB 23
"BB 32 Vacation of alley at Papin, Sarah Chouteau, and Talmage",Primary,roddy,BB 32
BB 45 Ordinance approving the petition to establish the City Foundry CID,Primary,roddy,BB 45
BB 118 Vacate Chouteau at Sarah,Primary,roddy,BB 118
BB 123 Block Grant Bill,Primary,roddy,BB 123
BB 138 Cortex Bill approving the Fifth Supplemental Trust Indenture,Primary,roddy,BB 138
BB 141 Zoning change for 4000-4100 blocks of Chouteau,Primary,roddy,BB 141
BB 158 Redevelopment plan for 1302 Boyle,Primary,roddy,BB 158
BB 161 Redevelopment plan for 4170-74 Manchester,Primary,roddy,BB 161
"BB 162 Redevelopment plan for 4211, 4219, and 4235-39 Chouteau",Primary,roddy,BB 162
BB 163 Redevelopment plan for 4330-4337 Gibson and 4210 Chouteau,Primary,roddy,BB 163
BB 164 Redevelopment plan for 4310-20 Vista,Primary,roddy,BB 164
BB 165 Redevelopment plan for 1115-23 S. Newstead,Primary,roddy,BB 165
BB 172 Quit Claim for Botanical Heights 4223 Gibson,Primary,roddy,BB 172
BB 191 Forest Park Southeast Form-Based District,Primary,roddy,BB 191
BB 192 Revocation of Special Use District,Primary,roddy,BB 192
BB 200  TIF bill regarding the termination of two special allocation funds,Primary,roddy,BB 200
BB 201 Ordinance regarding TIF plans,Primary,roddy,BB 201
BB 245 SLDC to complete an annual City Economic Growth Strategy Report,Co-Sponsor,roddy,BB 245
BB 247 Redevelopment Plan for Forest Park Scattered Sites V,Primary,roddy,BB 247
"BB 248 authorizing and directing the issuance and delivery of one or more series of tax increment revenue notes (St. Louis Innovation District/RPA 3 Redevelopment Project) Series A, Series B, and Series C",Primary,roddy,BB 248
"BB 249 adopting and approving redevelopment projects for Redevelopment Project Area 3, as described in the Amended and Restated St. Louis Innovation District Tax Increment Financing Redevelopment Plan;",Primary,roddy,BB 249
BB 253 Talmage Chouteau Residential Parking District,Primary,roddy,BB 253
BB 261 Approv. amendment RPA2 City Foundry TIF,Primary,roddy,BB 261
BB 262 Authorizing agrmt for City Foundry TIF RPA,Primary,roddy,BB 262
"BB 48 zoning of property on the Central  	West End Form-Based District Map, from â€œNG1â€ù Neighborhood General Type 1 Zone to the â€œNCT1â€ù Neighborhood Center Type 1 Zone in City Block 3914 (4117R West Pine Boulevard)",Primary,roddy,BB 48
"BB 49  vacate travel on the north side of Forest Park Ave. abutting City Block 3919-E as bounded by Laclede, Spring, Forest Park and Vandeventer, and adjacent to 3763 (3745-3801) Forest Park.",Primary,roddy,BB 49
BB 46 Redevelopment plan for 2700-06 Cherokee,Primary,spencer,BB 46
BB 76 Ordinance regarding Maya Angelou's birthplace,Co-Sponsor,spencer,BB 76
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,spencer,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,spencer,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,spencer,BB 83
BB 108 Ordinance pertaining to graduated business license,Co-Sponsor,spencer,BB 108
BB 109 Ordinance pertaining to the regulation of home occupations,Co-Sponsor,spencer,BB 109
BB 110 Ordinance concerning licensing and regulating of businesses,Co-Sponsor,spencer,BB 110
BB 113 Ordinance relating to speed bumps,Co-Sponsor,spencer,BB 113
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,spencer,BB 115
BB 141 Vacate travel at Judith Court,Primary,spencer,BB 141
BB 176 Soldiers Memorial Agreement,Co-Sponsor,spencer,BB 176
BB 207 Stadium Ordinance,Co-Sponsor,spencer,BB 207
BB 250 Rezoning 2748-54 Chippewa,Primary,spencer,BB 250
BB 265 Earnings Tax,Co-Sponsor,spencer,BB 265
BB 309 Ordinance requiring online record of Board of Aldermen votes,Co-Sponsor,spencer,BB 309
BB 7 Ordinance pertaining to semi-trailer trucks,Primary,spencer,BB 7
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,spencer,BB 36
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Primary,spencer,BB 40
BB 53 Ordinance pertaining to campaign contribution limits,Co-Sponsor,spencer,BB 53
BB 54 Ordinance banning lobbyist from the Board of Aldermen Chambers,Co-Sponsor,spencer,BB 54
BB 63 Fiscal Note Bill,Co-Sponsor,spencer,BB 63
BB 69 Short-Term Lending Code,Primary,spencer,BB 69
BB 70 Election Approving Permit Fees for Short-Term Loan Establishments,Primary,spencer,BB 70
BB 78 Redevelopment plan for 3839 Indiana,Primary,spencer,BB 78
BB 79 Redevelopment plan for 3944 Michigan,Primary,spencer,BB 79
BB 88 Ordinance regarding Traffic Calming,Co-Sponsor,spencer,BB 88
BB 151 Amending Public Nuisances Code,Co-Sponsor,spencer,BB 151
BB 178 Redevelopment plan for 2920 Cherokee,Primary,spencer,BB 178
BB 203 Ordinance regarding pregnancy and reproductive health decisions as protected classes,Co-Sponsor,spencer,BB 203
BB 229 Ordinance establishing the Cherokee Street CID,Co-Sponsor,spencer,BB 229
BB 237 Redevelopment plan for 3305 Winnebago St.,Primary,spencer,BB 237
BB 238 Redevelopment plan for Chippewa Park Scattered Sites,Primary,spencer,BB 238
BB 252 Zoning change for 3627 & 3635 S. Jefferson,Primary,spencer,BB 252
BB 252 Zoning change for 3627 & 3635 S. Jefferson,Primary,spencer,BB 252
BB 261 Domestic violence leave bill,Co-Sponsor,spencer,BB 261
BB 261 Domestic violence leave bill,Co-Sponsor,spencer,BB 261
BB 33 Stop sign at Chippewa & Marine,Primary,spencer,BB 33
